time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-05-07T00:00:00.000Z","LatLng(37.7775, -122.416389)","32.618725","/","2018-05-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-05-21T00:00:00.000Z","LatLng(37.7775, -122.416389)","36.145203","/","2018-05-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-04T00:00:00.000Z","LatLng(37.7775, -122.416389)","30.362528","/","2018-06-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-18T00:00:00.000Z","LatLng(37.7775, -122.416389)","36.565193","/","2018-06-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-02T00:00:00.000Z","LatLng(37.7775, -122.416389)","36.84264","/","2018-07-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-16T00:00:00.000Z","LatLng(37.7775, -122.416389)","34.049103","/","2018-07-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-30T00:00:00.000Z","LatLng(37.7775, -122.416389)","37.2144","/","2018-07-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-13T00:00:00.000Z","LatLng(37.7775, -122.416389)","31.457085","/","2018-08-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-27T00:00:00.000Z","LatLng(37.7775, -122.416389)","39.89094","/","2018-08-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-10T00:00:00.000Z","LatLng(37.7775, -122.416389)","45.759655","/","2018-09-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-24T00:00:00.000Z","LatLng(37.7775, -122.416389)","50.16827","/","2018-09-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-08T00:00:00.000Z","LatLng(37.7775, -122.416389)","70.81888","/","2018-10-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-22T00:00:00.000Z","LatLng(37.7775, -122.416389)","60.81961","/","2018-10-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-05T00:00:00.000Z","LatLng(37.7775, -122.416389)","83.84668","/","2018-11-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-19T00:00:00.000Z","LatLng(37.7775, -122.416389)","51.361553","/","2018-11-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-03T00:00:00.000Z","LatLng(37.7775, -122.416389)","90.001656","/","2018-12-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-17T00:00:00.000Z","LatLng(37.7775, -122.416389)","53.112923","/","2018-12-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-31T00:00:00.000Z","LatLng(37.7775, -122.416389)","76.77756","/","2018-12-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-14T00:00:00.000Z","LatLng(37.7775, -122.416389)","78.11091","/","2019-01-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-28T00:00:00.000Z","LatLng(37.7775, -122.416389)","47.33966","/","2019-01-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-11T00:00:00.000Z","LatLng(37.7775, -122.416389)","38.79529","/","2019-02-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-25T00:00:00.000Z","LatLng(37.7775, -122.416389)","35.208355","/","2019-02-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-11T00:00:00.000Z","LatLng(37.7775, -122.416389)","50.14265","/","2019-03-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-25T00:00:00.000Z","LatLng(37.7775, -122.416389)","41.491993","/","2019-03-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-04-08T00:00:00.000Z","LatLng(37.7775, -122.416389)","31.70264","/","2019-04-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-04-22T00:00:00.000Z","LatLng(37.7775, -122.416389)","41.593964","/","2019-04-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-05-06T00:00:00.000Z","LatLng(37.7775, -122.416389)","30.200832","/","2019-05-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-05-20T00:00:00.000Z","LatLng(37.7775, -122.416389)","30.274324","/","2019-05-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-06-03T00:00:00.000Z","LatLng(37.7775, -122.416389)","37.944206","/","2019-06-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-06-17T00:00:00.000Z","LatLng(37.7775, -122.416389)","33.40827","/","2019-06-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-01T00:00:00.000Z","LatLng(37.7775, -122.416389)","26.355352","/","2019-07-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-15T00:00:00.000Z","LatLng(37.7775, -122.416389)","32.124004","/","2019-07-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-29T00:00:00.000Z","LatLng(37.7775, -122.416389)","30.535654","/","2019-07-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-08-12T00:00:00.000Z","LatLng(37.7775, -122.416389)","39.815662","/","2019-08-12T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-08-26T00:00:00.000Z","LatLng(37.7775, -122.416389)","31.397598","/","2019-08-26T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-09T00:00:00.000Z","LatLng(37.7775, -122.416389)","43.071564","/","2019-09-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-23T00:00:00.000Z","LatLng(37.7775, -122.416389)","44.701557","/","2019-09-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-07T00:00:00.000Z","LatLng(37.7775, -122.416389)","57.001274","/","2019-10-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-21T00:00:00.000Z","LatLng(37.7775, -122.416389)","70.36109","/","2019-10-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-04T00:00:00.000Z","LatLng(37.7775, -122.416389)","79.54128","/","2019-11-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-18T00:00:00.000Z","LatLng(37.7775, -122.416389)","66.21345","/","2019-11-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-02T00:00:00.000Z","LatLng(37.7775, -122.416389)","32.75438","/","2019-12-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-16T00:00:00.000Z","LatLng(37.7775, -122.416389)","55.222206","/","2019-12-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-30T00:00:00.000Z","LatLng(37.7775, -122.416389)","68.876076","/","2019-12-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-13T00:00:00.000Z","LatLng(37.7775, -122.416389)","66.14366","/","2020-01-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-27T00:00:00.000Z","LatLng(37.7775, -122.416389)","60.507366","/","2020-01-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-10T00:00:00.000Z","LatLng(37.7775, -122.416389)","76.55896","/","2020-02-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-24T00:00:00.000Z","LatLng(37.7775, -122.416389)","57.744663","/","2020-02-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-09T00:00:00.000Z","LatLng(37.7775, -122.416389)","58.78777","/","2020-03-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-23T00:00:00.000Z","LatLng(37.7775, -122.416389)","23.585915","/","2020-03-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-06T00:00:00.000Z","LatLng(37.7775, -122.416389)","33.755424","/","2020-04-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-20T00:00:00.000Z","LatLng(37.7775, -122.416389)","20.493357","/","2020-04-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-04T00:00:00.000Z","LatLng(37.7775, -122.416389)","30.737293","/","2020-05-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-18T00:00:00.000Z","LatLng(37.7775, -122.416389)","27.950106","/","2020-05-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-01T00:00:00.000Z","LatLng(37.7775, -122.416389)","25.238802","/","2020-06-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-15T00:00:00.000Z","LatLng(37.7775, -122.416389)","26.627913","/","2020-06-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-29T00:00:00.000Z","LatLng(37.7775, -122.416389)","25.847183","/","2020-06-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-13T00:00:00.000Z","LatLng(37.7775, -122.416389)","26.062428","/","2020-07-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-27T00:00:00.000Z","LatLng(37.7775, -122.416389)","24.731882","/","2020-07-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-10T00:00:00.000Z","LatLng(37.7775, -122.416389)","32.866962","/","2020-08-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-24T00:00:00.000Z","LatLng(37.7775, -122.416389)","31.458452","/","2020-08-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-07T00:00:00.000Z","LatLng(37.7775, -122.416389)","35.236965","/","2020-09-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-21T00:00:00.000Z","LatLng(37.7775, -122.416389)","33.166687","/","2020-09-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-05T00:00:00.000Z","LatLng(37.7775, -122.416389)","41.49873","/","2020-10-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-19T00:00:00.000Z","LatLng(37.7775, -122.416389)","64.08212","/","2020-10-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-02T00:00:00.000Z","LatLng(37.7775, -122.416389)","60.093685","/","2020-11-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-16T00:00:00.000Z","LatLng(37.7775, -122.416389)","63.426792","/","2020-11-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-30T00:00:00.000Z","LatLng(37.7775, -122.416389)","90.03469","/","2020-11-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-14T00:00:00.000Z","LatLng(37.7775, -122.416389)","65.147964","/","2020-12-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-28T00:00:00.000Z","LatLng(37.7775, -122.416389)","73.20321","/","2020-12-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-11T00:00:00.000Z","LatLng(37.7775, -122.416389)","73.89181","/","2021-01-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-25T00:00:00.000Z","LatLng(37.7775, -122.416389)","55.817116","/","2021-01-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-08T00:00:00.000Z","LatLng(37.7775, -122.416389)","41.880634","/","2021-02-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-22T00:00:00.000Z","LatLng(37.7775, -122.416389)","46.15337","/","2021-02-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-08T00:00:00.000Z","LatLng(37.7775, -122.416389)","30.644156","/","2021-03-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-22T00:00:00.000Z","LatLng(37.7775, -122.416389)","47.90935","/","2021-03-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-05T00:00:00.000Z","LatLng(37.7775, -122.416389)","34.274918","/","2021-04-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-19T00:00:00.000Z","LatLng(37.7775, -122.416389)","31.1378","/","2021-04-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-03T00:00:00.000Z","LatLng(37.7775, -122.416389)","NaN","/","2021-05-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-17T00:00:00.000Z","LatLng(37.7775, -122.416389)","NaN","/","2021-05-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-31T00:00:00.000Z","LatLng(37.7775, -122.416389)","NaN","/","2021-05-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
